VARIABLE NAME                  | ADDRESS 
ADC_RCR1                       | 0x00CB
ADC_RCR2                       | 0x00CC
ADC_RCR3                       | 0x00CD
ADC_RESR0H                     | 0x00CB
ADC_RESR0L                     | 0x00CA
ADC_RESR1H                     | 0x00CD
ADC_RESR1L                     | 0x00CC
ADC_RESR2H                     | 0x00CF
ADC_RESR2L                     | 0x00CE
ADC_RESR3H                     | 0x00D3
ADC_RESR3L                     | 0x00D2
ADC_RESRA0H                    | 0x00CB
ADC_RESRA0L                    | 0x00CA
ADC_RESRA1H                    | 0x00CD
ADC_RESRA1L                    | 0x00CC
ADC_RESRA2H                    | 0x00CF
ADC_RESRA2L                    | 0x00CE
ADC_RESRA3H                    | 0x00D3
ADC_RESRA3L                    | 0x00D2
ADC_VFCR                       | 0x00CE
ADDATH                         | 0x00D9
ADDATL                         | 0x00DA
BCON                           | 0x00BD
CCEN                           | 0x00C1
CCH1                           | 0x00C3
CCH2                           | 0x00C5
CCH3                           | 0x00C7
CCH_GEBL                       | 0x009B
CCH_GPV                        | 0x00FF
CCH_PUHZ                       | 0x00FD
CCL1                           | 0x00C2
CCL2                           | 0x00C4
CCL3                           | 0x00C6
CCL_GEBL                       | 0x009A
CCL_GPV                        | 0x00FE
CCL_PUHZ                       | 0x00FC
CCU6_CC60RH                    | 0x00FB
CCU6_CC60RL                    | 0x00FA
CCU6_CC60SRH                   | 0x00FB
CCU6_CC60SRL                   | 0x00FA
CCU6_CC61RH                    | 0x00FD
CCU6_CC61RL                    | 0x00FC
CCU6_CC61SRH                   | 0x00FD
CCU6_CC61SRL                   | 0x00FC
CCU6_CC62RH                    | 0x00FF
CCU6_CC62RL                    | 0x00FE
CCU6_CC62SRH                   | 0x00FF
CCU6_CC62SRL                   | 0x00FE
CCU6_CC63RH                    | 0x009B
CCU6_CC63RL                    | 0x009A
CCU6_CC63SRH                   | 0x009B
CCU6_CC63SRL                   | 0x009A
CCU6_CMPMODIFH                 | 0x00A7
CCU6_CMPMODIFL                 | 0x00A6
CCU6_CMPSTATH                  | 0x00FF
CCU6_CMPSTATL                  | 0x00FE
CCU6_IENH                      | 0x009D
CCU6_IENL                      | 0x009C
CCU6_INPH                      | 0x009F
CCU6_INPL                      | 0x009E
CCU6_ISH                       | 0x009D
CCU6_ISL                       | 0x009C
CCU6_ISRH                      | 0x00A5
CCU6_ISRL                      | 0x00A4
CCU6_ISSH                      | 0x00A5
CCU6_ISSL                      | 0x00A4
CCU6_MCMCTR                    | 0x00A7
CCU6_MCMOUTH                   | 0x009B
CCU6_MCMOUTL                   | 0x009A
CCU6_MCMOUTSH                  | 0x009F
CCU6_MCMOUTSL                  | 0x009E
CCU6_MODCTRH                   | 0x00FD
CCU6_MODCTRL                   | 0x00FC
CCU6_PAGE                      | 0x00A3
CCU6_PISEL0H                   | 0x009F
CCU6_PISEL0L                   | 0x009E
CCU6_PISEL2                    | 0x00A4
CCU6_PSLR                      | 0x00A6
CCU6_T12DTCH                   | 0x00A5
CCU6_T12DTCL                   | 0x00A4
CCU6_T12H                      | 0x00FB
CCU6_T12L                      | 0x00FA
CCU6_T12MSELH                  | 0x009B
CCU6_T12MSELL                  | 0x009A
CCU6_T12PRH                    | 0x009D
CCU6_T12PRL                    | 0x009C
CCU6_T13H                      | 0x00FD
CCU6_T13L                      | 0x00FC
CCU6_T13PRH                    | 0x009F
CCU6_T13PRL                    | 0x009E
CCU6_TCTR0H                    | 0x00A7
CCU6_TCTR0L                    | 0x00A6
CCU6_TCTR2H                    | 0x00FB
CCU6_TCTR2L                    | 0x00FA
CCU6_TCTR4H                    | 0x009D
CCU6_TCTR4L                    | 0x009C
CCU6_TRPCTRH                   | 0x00FF
CCU6_TRPCTRL                   | 0x00FE
CD_CON                         | 0x00A1
CD_CORDXH                      | 0x009B
CD_CORDXL                      | 0x009A
CD_CORDYH                      | 0x009D
CD_CORDYL                      | 0x009C
CD_CORDZH                      | 0x009F
CD_CORDZL                      | 0x009E
CD_STATC                       | 0x00A0
CMCON                          | 0x00BA
COCON                          | 0x00BE
CRCH                           | 0x00CB
CRCL                           | 0x00CA
DE_F_PORT                      | 0x00B0
DO_PORT                        | 0x0090
DPH                            | 0x0083
DPL                            | 0x0082
DPSEL                          | 0x0092
EXICON0                        | 0x00B7
EXICON1                        | 0x00BA
FDCON                          | 0x00E9
FDRES                          | 0x00EB
FDSTEP                         | 0x00EA
FEAH                           | 0x00BD
FEAL                           | 0x00BC
HWBPDR                         | 0x00F7
HWBPSR                         | 0x00F6
IEN0                           | 0x00A8
IEN1                           | 0x00E8
