BtnReadProgHz1,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgHz2,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgHz3,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgWW,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnReadProgZirk,,&Auslesen,&Read,&Lire,&Leggere,&Leer,&Aflezen,Udlæs,&Läs,Avles,&Preberi,&ocitati,&Kiolvasni,&Odczyt,&Ñ÷èòàòü
BtnResetHistorie,,0 (Aus) | 1 (Prog 3) | 2 (Vorlauf Max),cbbxP371_FS2.Items,0 (Aus) | 1 (Prog 3) | 2 (Vorlauf Max),EGrpP396_FS2.Items,396 Legionellen-Solltemp#°C,cbbxP401_FS2.Items,0 (Aus) | 1 (WW Normal) | 2 (WW Maximal),CbbxExtRaumfuehler_FS2.Items,"--,""ext. Raumfühler | int. Raumfühler"",--,""Im Kessel",TfrmWCMFS1.HelpFile,stCollections,stCharSets,TfrmWCMFS1,RUSSIAN_CHARSET
BtnResetHistorieClick,TIB_STRINGLIST,Nederlands,Dansk,Swedish,Norwegian,Slovenski,Hrvatski,Magyar,Polski,Russian,Greece,Language,Deutsch,TranslationData,stCaptions
BtnWriteEndanwender,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteFM_HZK1,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteFM_HZK2,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteFM_WW,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteProgHz1,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteProgHz2,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
BtnWriteProgHz3,,&Eintragen,&Write,&Ecrire,&Scrivere,&Escribir,&Optekenen,Skriv,S&kriv,Skriv,&Vnesi,&unositi,&Bevinni,&Zapis w urz.,&Ââåñòè
CbBxZirkFrAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkFrEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkFrEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkFrEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMiAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMiAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMiAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMiEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMiEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMiEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMoAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMoAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMoAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMoEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMoEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkMoEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSaAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSaAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSaAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSaEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSaEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSaEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSoAus1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSoAus2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSoAus3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSoEin1,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSoEin2,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
CbBxZirkSoEin3,,Style,csDropDownList,ItemHeight,,,,,,,,,,,
ChkBxH1EM,TCheckBox,H1 Eingang,H1 input,Entrée H1,Ingresso H1,Entrada H1,H1 ingang,H1 indgang,Värme1 Ingång,Varme1 Inngang,Vhod H1,H1 ulaz,H1 bemenet,Wejscie H1,
ChkBxH1EWW,TCheckBox,H1 Eingang,H1 input,Entrée H1,Ingresso H1,Entrada H1,H1 ingang,H1 indgang,Värme1 Ingång,Varme1 Inngang,Vhod H1,H1 ulaz,H1 bemenet,Wejscie H1,
ChkBxHz1MoFr,,Mo-Fr,Lu-Ve,Lu-Vi,Ma-Vr,Man-Fre,M-F,Man-Fre,pon-pet,Po-Pe,Hé-Pé,pon-pt,Ïí-Ïò,,
ChkBxHz1MoSo,,Mo-So,Mo-Su,Lu-Di,Lu-Do,Ma-Zo,Man-Søn,M-S,Man-Sön,pon-sob,Po-Ne,Hé-Va,pon-niedz,Ïí-Âñ,
