Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
LblErr1,TLabel,Fehler 1,,,,,,,,,,,,,
LblErr2,TLabel,Fehler 2,,,,,,,,,,,,,
LblErr3,TLabel,Fehler 3,,,,,,,,,,,,,
LblErr4,TLabel,Fehler 4,,,,,,,,,,,,,
LblErr5,TLabel,Fehler 5,,,,,,,,,,,,,
LblErrorCode,TLabel,LBLI34,I34: WW-Temperatur [°C],lblerr10,Fehler 10,lblerr7,Fehler 7,lblerr8,Fehler 8,lblerr9,Fehler 9,lblI16,I16: Brennerlaufzeit [s],LBLI40,I40: Relativer Schaltspielzähler
LblFCode,TLabel,Fehler,,,,,,,,,,,,,
LblOutSensor,TLabel,Außenfühler,,,,,,,,,,,,,
LblP10,TLabel,P10: Gerätetyp,,,,,,,,,,,,,
LblP12,TLabel,P12: Kesseladresse,,,,,,,,,,,,,
LblP13,TLabel,P13: Funktion MFA,,,,,,,,,,,,,
LblP14,TLabel,P14: Funktion VA,,,,,,,,,,,,,
LblP15,TLabel,P15: Funktion H1,,,,,,,,,,,,,
LblP17,TLabel,P17: Funktion H2,,,,,,,,,,,,,
LblPWM,TLabel,PWM Pumpe,,,,,,,,,,,,,
RGrpAbgasklappe,,Nein,,,,,,,,,,,,,
RGrpMenu,TTabSheet,W (Winterbetrieb),S (Sommerbetrieb),,,,,,,,,,,,
RGrpOutSensor,,Nein (-),Ja (A),mA (t),,,,,,,,,,,
RGrpPWM,,Nein (-),Ja (P),,,,,,,,,,,,
RGrpUVW,TEditGroup,Heizung,EGrpZuendstrom,I25 Zündstrom,WidthEdit,WidthLabel,WidthUnit,pReadOnly,MaxLength,EditRight,EditWithColor,,,,
StrGridHistory,,DefaultColWidth,DefaultRowHeight,FixedCols,RowCount,FixedRows,Options,goFixedVertLine,goFixedHorzLine,goVertLine,goHorzLine,goRangeSelect,goDrawFocusSelected,ScrollBars,ssNone
TbShtAnlage,TGroupBox,Anlage,,,,,,,,,,,,,
TbShtBurner,,Prozesswerte WTO,,,,,,,,,,,,,
TbShtErrorBuffer,TGroupBox,Fehlerhistorie,,,,,,,,,,,,,
TbShtFailSafe,TGroupBox,Hersteller,,,,,,,,,,,,,
TbShtMenu,TGroupBox,Endanwender,,,,,,,,,,,,,
TbShtService,TTabSheet,Heizungsfachmann,,,,,,,,,,,,,
TbShtStatistik,TGroupBox,Statistik,,,,,,,,,,,,,
