Component,Type,German,English,French,Italian,Spanish,Dutch,Danish,Swedish,Norwegian,Slovenian,Croatian,Hungarian,Polish,Russian
strcFuehlerB12,,Auslauftemp. B12,Outlet temp. B12,température de circulation B12,Temperatura erogazione B12,Sonda consumo B12,Uitlooptemp. B12,Fremløbstemp. B12,Utloppstemp.B12,vanjsko pipalo B12,kim.hõm B12,t. wyplywu c.w.u. B12,Òåìïåðàòóðà âîäû íà âûõîäå B12,,
strcGDW,,.GDW,.GPS,.Pressostato gas,.GPS,,,,,,,,,,
strcHZFG,,.HZ-FG,Heat. FG,HZ-FG,Consenso riscaldam.,HZ-FG,Varme frigivelse,Värme-FG,HZ-FG,fûtés-FG,zezwolenie na prace obiegu grz.,Ïóñê ÊÍ,,,
strcHZSoll,,HZ-Soll,Heat set point,Consigne HZ,Riscaldamento nomin.,HZ-consigna,Instelwaarde verw.,Varmekreds beregnet værdi,Värme Bör,HZ-zadano,fûtés-par,wart. zad. temperatury dla ogrzewania,ÊÍ-Çàäàí,,
strcIOIst,,Io-Ist,Io actual,Io réel,Ionizzazione attuale,Io-real,Reële io-waarde,Ioniseringsværdi,Io-Är,Io-iznosi,Io-tény,wartosc Io rzecz.,Èî-Ôàêò,,
strcIoSoll,,Io-Soll,Io set point,Consigne Io,Ionizzazione nomin.,Io-consigna,Io-instelwaarde,Beregnet ioniseringsværdi,Io-Bör,Io-zadana,Io-par,wartosc Io zad.,Èî-Çàäàí,,
strcLDW,,.LDW,.APS,.Pressostato aira,.APS,,,,,,,,,,
strcLDW_Siphon,,.LDW Siphon,.APS Siphon,.Pressostato sifone,.APS Siphon,,,,,,,,,,
strcLadepumpe,,.Ladepumpe,Feeder pump,,,,,,,,,,,,
strcMFA,,.MFA,MFA,,,,,,,,,,,,
strcMischerAuf,,.Mischer Auf,Mixer open,Mélangeur ouvert,Miscelatrice apre,Válvula abrir,Mengkraan open,Ventil åben,Blandare öppen,Mješaè otva.,keverõ nyit,mieszacz otw.,Ñìåñèòåëü îòêð,,
strcMischerZu,,.Mischer Zu,Mixer close,Mélangeur fermé,Miscelatrice chiude,Válvula cerrar,Mengkraan dicht,Ventil lukket,Blandare stängd,Mješaè zatv.,keverõ zár,mieszacz zamkn.,Ñìåñèòåëü çàêð,,
strcMischerpumpe,,.Mischerpumpe,Mixer pump,,,,,,,,,,,,
strcModGrad,,Mod.-Grad,Mod. degree,Degré de modulation,Grado modulazione,Grado modul.,Modulatiegraad,Modulationsgrad,Mod-grad,model-stupanj,mod.-fok,stopieñ modul.,ÑòåïåíüÌîäóë,,
strcOeldosierpumpe,,Öldosierpumpe,Oil dosing pump,Pompe de dosage fioul,Pompa dosatrice olio,Bomba dosif. Liq.,Oliedoseerpomp,Oliedoseringspumpe,Oljedoserpump,Crpka doziranja ulja,"olajad,sziv.",Äîçèð. íàñîñ,,,
strcOelventil,,.Ölventil,Oil valve,Vanne fioul,Valvola olio,Válvula líq.,Olieventiel,Oileventil,Oljeventil,Ventil ulja,olajszelep,Ýëåêòðîîáîãðåâ,,,
strcPWMPumpe,,PWM Pumpe,PWM pump,Pompe PWM,Pompa PWM,Bomba PWM,PWM-pomp,PWM-pumpe,PWM-pump,PWM crpka,PWM sziv.,pompa PWM,Íàñîñ PWM,,
strcPWM_Fan,,PWM Gebläse,PWM fan,PWM ventilatore,PWM fan,,,,,,,,,,
strcPumpe,,.Pumpe,Pump,Pompe,Pompa,Bomba,Pomp,Pumpe,Pump,Crpka,szivattyú,pompa,Íàñîñ,,
strcRL_B13,,RL-Ist B13,Return act. B13,Ritorno B13,Return act. B13,,,,,,,,,,
strcSollModGrad,,Sollmod.-Grad,Set mod. degree,Consigne de modulation,Grado modulazione nomin.,Grado modul. consigna,Instelmodulatiegraad,Beregnet modulationsgrad,Mod-grad Bör,Zadan model-stupanj,par.mod.-fok,stopieñ modul.zad.,ÑòåïåíüÇàäÌîäóë,,
